pdb
1AL1
1HCW
1COS
1DJF
1EC5
1FME
1FMH
1FSD
1FSV
1G6U
1ICL
1ICO
1J4M
1JM0
1JMB
1JY4
1JY6
1JY9
1K09
1K43
1KD8
1KD9
1KDD
1L2Y
1LE0
1LE1
1LE3
1LQ7
1LT1
1M3W
1N0Q
1N0R
1MJ0
1NA3
1NA0
1N09
1N0A
1N0C
1N0D
1NVO
1OVR
1OVU
1OVV
1P68
1PBZ
1PSV
1PYZ
1QP6
1QYS
1RH4
1S9Z
1SN9
1SNA
1SNE
1T8J
1TGG
1TJB
1U0I
1U2U
1VL3
1VRZ
1XOF
1Y47
1YMZ
2A3D
2AVP
2BH8
2CW1
2EVQ
2FO7
2HYZ
2JRE
2JST
2JUA
2KDL
2KDM
2KI0
2KIK
2N2T
2N2U
2KLW
2N1E
2N6H
2N6I
2O6N
2P0X
2QYJ
2RT4
3AL1
3CAY
3H5F
3H5G
3J89
3LJM
3LTJ
3LTM
3NI3
3OVJ
3OW9
3P6I
3P6J
3Q7W
3Q7X
3Q7Y
3R3K
3R46
3RA3
3RFS
3RFJ
3T4F
3TWE
3TWF
3TWG
3U1O
3U1V
3U29
3V45
3V86
3WN8
3WW7
3WW8
3WW9
3WWA
3WWB
3WWF
4DAC
4E0K
4E0L
4E0M
4E0N
4E0O
4E88
4G1A
4G3B
4G4L
4G4M
4GVW
4J4Z
4JBC
4JXI
4JLR
4N9G
4L8I
4K0C
4PNB
4QTR
4NDL
4OYD
4PJQ
4PJR
4PJS
4Z1R
5KWD
5LO3
5LO2
5LO4
5TGY
5TGW
5UGK
5UYO
5UOI
5UP1
5UP5
5VID
5VMR
5YAN
6B85
6B87
6H5H
6HQE
6MK1
6IWB
6M6Z
6TJ1
6TMS
6W15
6RX5
6R60
6R5Z
6R5Y
6UXS
6VZX
6W46
6W47
6WKY
6WL0
6WL1
6X1K
6XXV
6YWC
6YWD
