Identifier,StructureData,
Entry ID,PDB ID,
"5DN0","5DN0"
"5DNS","5DNS"
"5DQA","5DQA"
"5DRA","5DRA"
"5DXV","5DXV"
"5DZB","5DZB"
"5E6G","5E6G"
"5EHB","5EHB"
"5EIL","5EIL"
"5EOJ","5EOJ"
"5EON","5EON"
"5ET3","5ET3"
"5EZ8","5EZ8"
"5EZ9","5EZ9"
"5EZA","5EZA"
"5EZC","5EZC"
"5EZE","5EZE"
"5F2Y","5F2Y"
"5F53","5F53"
"5GAJ","5GAJ"
"5HKN","5HKN"
"5HKR","5HKR"
"5HPN","5HPN"
"5HRY","5HRY"
"5HRZ","5HRZ"
"5HS0","5HS0"
"5I1Y","5I1Y"
"5I1Z","5I1Z"
"5IEN","5IEN"
"5IEO","5IEO"
"5IEP","5IEP"
"5IER","5IER"
"5IF6","5IF6"
"5IZS","5IZS"
"5J0H","5J0H"
"5J0I","5J0I"
"5J0J","5J0J"
"5J0K","5J0K"
"5J0L","5J0L"
"5J10","5J10"
"5J2L","5J2L"
"5J73","5J73"
"5J7D","5J7D"
"5JG9","5JG9"
"5JHI","5JHI"
"5JI4","5JI4"
"5JQZ","5JQZ"
"5K7V","5K7V"
"5K92","5K92"
"5KB0","5KB0"
"5KB1","5KB1"
"5KB2","5KB2"
"5KBA","5KBA"
"5KKG","5KKG"
"5KNG","5KNG"
"5KPE","5KPE"
"5KPH","5KPH"
"5KVN","5KVN"
"5KWO","5KWO"
"5KWP","5KWP"
"5KWX","5KWX"
"5KWZ","5KWZ"
"5KX0","5KX0"
"5KX1","5KX1"
"5KX2","5KX2"
"5L2H","5L2H"
"5L33","5L33"
"5LE2","5LE2"
"5LE3","5LE3"
"5LE4","5LE4"
"5LE6","5LE6"
"5LE7","5LE7"
"5LE8","5LE8"
"5LE9","5LE9"
"5LEA","5LEA"
"5LEB","5LEB"
"5LEC","5LEC"
"5LED","5LED"
"5LEE","5LEE"
"5LW2","5LW2"
"5MFB","5MFB"
"5MFD","5MFD"
"5MFE","5MFE"
"5MFF","5MFF"
"5MFG","5MFG"
"5MFH","5MFH"
"5MFI","5MFI"
"5MFJ","5MFJ"
"5MFK","5MFK"
"5MFL","5MFL"
"5MFN","5MFN"
"5MFO","5MFO"
"5OOS","5OOS"
"5OOU","5OOU"
"5OP3","5OP3"
"5ORM","5ORM"
"5SBG","5SBG"
"5SBI","5SBI"
"5SBJ","5SBJ"
"5TPH","5TPH"
"5TPJ","5TPJ"
"5TRV","5TRV"
"5TS4","5TS4"
"5TX8","5TX8"
"5U35","5U35"
"5U59","5U59"
"5U5A","5U5A"
"5U5B","5U5B"
"5U5C","5U5C"
"5U9T","5U9T"
"5U9U","5U9U"
"5UXT","5UXT"
"5V2G","5V2G"
"5V2O","5V2O"
"5V63","5V63"
"5V64","5V64"
"5V65","5V65"
"5VBT","5VBT"
"5VJS","5VJS"
"5VJT","5VJT"
"5VJU","5VJU"
"5VNV","5VNV"
"5VSG","5VSG"
"5VTE","5VTE"
"5W0J","5W0J"
"5W9F","5W9F"
"5WLJ","5WLJ"
"5WLK","5WLK"
"5WLL","5WLL"
"5WLM","5WLM"
"5WOC","5WOC"
"5WOD","5WOD"
"5XG5","5XG5"
"5YXI","5YXI"
"6ANF","6ANF"
"6ANM","6ANM"
"6ANN","6ANN"
"6B17","6B17"
"6BZX","6BZX"
"6C2U","6C2U"
"6C2V","6C2V"
"6C4X","6C4X"
"6C4Y","6C4Y"
"6C4Z","6C4Z"
"6C50","6C50"
"6C51","6C51"
"6C52","6C52"
"6C9K","6C9K"
"6CFA","6CFA"
"6CZG","6CZG"
"6CZH","6CZH"
"6CZI","6CZI"
"6CZJ","6CZJ"
"6D02","6D02"
"6D0T","6D0T"
"6D37","6D37"
"6DKM","6DKM"
"6DLC","6DLC"
"6DLM","6DLM"
"6DM9","6DM9"
"6DMA","6DMA"
"6DMP","6DMP"
"6DS9","6DS9"
"6E5C","6E5C"
"6E5H","6E5H"
"6E5I","6E5I"
"6E5J","6E5J"
"6E5K","6E5K"
"6EE5","6EE5"
"6EGC","6EGC"
"6EGL","6EGL"
"6EGM","6EGM"
"6EGN","6EGN"
"6EGO","6EGO"
"6EGP","6EGP"
"6EIK","6EIK"
"6EIZ","6EIZ"
"6F0Q","6F0Q"
"6F0S","6F0S"
"6F0T","6F0T"
"6FCE","6FCE"
"6FES","6FES"
"6FF6","6FF6"
"6FP9","6FP9"
"6FPA","6FPA"
"6FPB","6FPB"
"6G65","6G65"
"6G66","6G66"
"6G67","6G67"
"6G68","6G68"
"6G69","6G69"
"6G6A","6G6A"
"6G6B","6G6B"
"6G6C","6G6C"
"6G6D","6G6D"
"6G6E","6G6E"
"6G6F","6G6F"
"6G6G","6G6G"
"6G6H","6G6H"
"6G6M","6G6M"
"6G6N","6G6N"
"6G6O","6G6O"
"6G6P","6G6P"
"6G6Q","6G6Q"
"6H7I","6H7I"
"6I1J","6I1J"
"6I37","6I37"
"6I38","6I38"
"6I39","6I39"
"6I3A","6I3A"
"6I3B","6I3B"
"6JCC","6JCC"
"6KOS","6KOS"
"6MCD","6MCD"
"6MCT","6MCT"
"6MPW","6MPW"
"6MQ2","6MQ2"
"6MQU","6MQU"
"6MRR","6MRR"
"6MRS","6MRS"
"6MSP","6MSP"
"6MSQ","6MSQ"
"6MSR","6MSR"
"6N9H","6N9H"
"6NAF","6NAF"
"6NEK","6NEK"
"6NUK","6NUK"
"6NX2","6NX2"
"6NXM","6NXM"
"6NY8","6NY8"
"6NYE","6NYE"
"6NYI","6NYI"
"6NYK","6NYK"
"6NZ1","6NZ1"
"6NZ3","6NZ3"
"6O0C","6O0C"
"6O0I","6O0I"
"6O35","6O35"
"6O3N","6O3N"
"6OHH","6OHH"
"6OLN","6OLN"
"6OLO","6OLO"
"6OS8","6OS8"
"6OSD","6OSD"
"6OV9","6OV9"
"6OVS","6OVS"
"6OVU","6OVU"
"6OVV","6OVV"
"6OWD","6OWD"
"6Q1W","6Q1W"
"6Q22","6Q22"
"6Q25","6Q25"
"6Q5H","6Q5H"
"6Q5I","6Q5I"
"6Q5J","6Q5J"
"6Q5K","6Q5K"
"6Q5L","6Q5L"
"6Q5M","6Q5M"
"6Q5N","6Q5N"
"6Q5O","6Q5O"
"6Q5P","6Q5P"
"6Q5Q","6Q5Q"
"6Q5R","6Q5R"
"6Q5S","6Q5S"
"6QB2","6QB2"
"6QSD","6QSD"
"6QSE","6QSE"
"6QSF","6QSF"
"6QSG","6QSG"
"6QSH","6QSH"
"6R28","6R28"
"6REG","6REG"
"6REH","6REH"
"6REI","6REI"
"6REJ","6REJ"
"6REK","6REK"
"6REL","6REL"
"6REM","6REM"
"6REN","6REN"
"6REO","6REO"
"6RLH","6RLH"
"6RLI","6RLI"
"6S9L","6S9L"
"6S9M","6S9M"
"6S9N","6S9N"
"6S9O","6S9O"
"6S9P","6S9P"
"6SA6","6SA6"
"6SA7","6SA7"
"6SA8","6SA8"
"6SRW","6SRW"
"6SRY","6SRY"
"6SRZ","6SRZ"
"6SS1","6SS1"
"6SS3","6SS3"
"6TJB","6TJB"
"6TJC","6TJC"
"6TJD","6TJD"
"6TJE","6TJE"
"6TJF","6TJF"
"6TJG","6TJG"
"6TJH","6TJH"
"6TJI","6TJI"
"6TT6","6TT6"
"6TU6","6TU6"
"6TVJ","6TVJ"
"6U1S","6U1S"
"6U47","6U47"
"6UCX","6UCX"
"6UD9","6UD9"
"6UDR","6UDR"
"6UDW","6UDW"
"6UDZ","6UDZ"
"6UF4","6UF4"
"6UF7","6UF7"
"6UF8","6UF8"
"6UF9","6UF9"
"6UFA","6UFA"
"6UFU","6UFU"
"6UG2","6UG2"
"6UG3","6UG3"
"6UG6","6UG6"
"6UGB","6UGB"
"6UGC","6UGC"
"6V4Y","6V4Y"
"6V50","6V50"
"6V57","6V57"
"6V58","6V58"
"6V5G","6V5G"
"6V5I","6V5I"
"6V5J","6V5J"
"6V67","6V67"
"6V8E","6V8E"
"6VEH","6VEH"
"6VFH","6VFH"
"6VFI","6VFI"
"6VFJ","6VFJ"
"6VFK","6VFK"
"6VFL","6VFL"
"6VG7","6VG7"
"6VGA","6VGA"
"6VGB","6VGB"
"6VL5","6VL5"
"6VL6","6VL6"
"6W3W","6W3W"
"6W40","6W40"
"6W6X","6W6X"
"6W70","6W70"
"6W90","6W90"
"6WI5","6WI5"
"6WMK","6WMK"
"6WVS","6WVS"
"6WXO","6WXO"
"6WXP","6WXP"
"6X8N","6X8N"
"6X9Z","6X9Z"
"6XEH","6XEH"
"6XH5","6XH5"
"6XI6","6XI6"
"6XNS","6XNS"
"6XR1","6XR1"
"6XR2","6XR2"
"6XSS","6XSS"
"6XT4","6XT4"
"6XWI","6XWI"
"6XXZ","6XXZ"
"6XY0","6XY0"
"6XY1","6XY1"
"6Y06","6Y06"
"6Y07","6Y07"
"6Y7N","6Y7N"
"6Y7O","6Y7O"
"6Y7P","6Y7P"
"6YAZ","6YAZ"
"6YB0","6YB0"
"6YB1","6YB1"
"6YB2","6YB2"
"6YPI","6YPI"
"6YQX","6YQX"
"6YQY","6YQY"
"6Z0L","6Z0L"
"6Z0M","6Z0M"
"6Z2I","6Z2I"
"6Z35","6Z35"
"6ZT1","6ZT1"
"6ZV9","6ZV9"
"7A1T","7A1T"
"7A8S","7A8S"
"7AH0","7AH0"
"7ARR","7ARR"
"7ARS","7ARS"
"7AWY","7AWY"
"7AWZ","7AWZ"
"7AX0","7AX0"
"7AX2","7AX2"
"7B4T","7B4T"
"7B4U","7B4U"
"7B4V","7B4V"
"7B4W","7B4W"
"7BAS","7BAS"
"7BAT","7BAT"
"7BAU","7BAU"
"7BAV","7BAV"
"7BAW","7BAW"
"7BEY","7BEY"
"7BID","7BID"
"7BIE","7BIE"
"7BIF","7BIF"
"7BIG","7BIG"
"7BIM","7BIM"
"7BO8","7BO8"
"7BO9","7BO9"
"7BOA","7BOA"
"7BPL","7BPL"
"7BPM","7BPM"
"7BPN","7BPN"
"7BPP","7BPP"
"7BQB","7BQB"
"7BQC","7BQC"
"7BQD","7BQD"
"7BQE","7BQE"
"7BQM","7BQM"
"7BQN","7BQN"
"7BQQ","7BQQ"
"7BQR","7BQR"
"7BQS","7BQS"
"7BWW","7BWW"
"7C0N","7C0N"
"7CBC","7CBC"
"7DKK","7DKK"
"7DKO","7DKO"
"7DMF","7DMF"
"7DNS","7DNS"
"7EQ9","7EQ9"
"7F1H","7F1H"
"7F1I","7F1I"
"7F1J","7F1J"
"7F1K","7F1K"
"7F1L","7F1L"
"7JH5","7JH5"
"7JH6","7JH6"
"7K3H","7K3H"
"7KBQ","7KBQ"
"7KUW","7KUW"
"7L33","7L33"
"7LDF","7LDF"
"7LIB","7LIB"
"7LMV","7LMV"
"7LMX","7LMX"
"7LZ3","7LZ3"
"7M0Q","7M0Q"
"7M5T","7M5T"
"7MCC","7MCC"
"7MCD","7MCD"
"7MWQ","7MWQ"
"7MWR","7MWR"
"7N1K","7N1K"
"7NFF","7NFF"
"7NFG","7NFG"
"7NFH","7NFH"
"7NFI","7NFI"
"7NFJ","7NFJ"
"7NFK","7NFK"
"7NFL","7NFL"
"7NFM","7NFM"
"7NFN","7NFN"
"7NFO","7NFO"
"7NFP","7NFP"
"7NY0","7NY0"
"7OSU","7OSU"
"7OSV","7OSV"
"7OT7","7OT7"
"7OT8","7OT8"
"7P12","7P12"
"7Q1Q","7Q1Q"
"7Q1R","7Q1R"
"7Q1S","7Q1S"
"7Q1T","7Q1T"
"7Q3J","7Q3J"
"7Q3K","7Q3K"
"7QDI","7QDI"
"7QDJ","7QDJ"
"7QDK","7QDK"
"7QNL","7QNL"
"7QWA","7QWA"
"7QWB","7QWB"
"7QWC","7QWC"
"7QWD","7QWD"
"7QWE","7QWE"
"7RKC","7RKC"
"7RMX","7RMX"
"7RMY","7RMY"
"7RX5","7RX5"
"7S5B","7S5B"
"7SKN","7SKN"
"7SKO","7SKO"
"7SKP","7SKP"
"7SMJ","7SMJ"
"7SQ3","7SQ3"
"7SQ4","7SQ4"
"7SQ5","7SQ5"
"7T03","7T03"
"7T2Y","7T2Y"
"7TAL","7TAL"
