,pdb
0,1K09
1,1NA3
2,1NA0
3,1P68
4,2BH8
5,2JUA
6,3RFS
7,3RFJ
8,4E0K
9,4E0L
10,4E0M
11,4E0N
12,4E0O
13,4JLR
14,4N9G
15,4QTR
16,4NDL
17,4OYD
18,4PJQ
19,4PJR
20,4PJS
21,5KWD
22,5LO3
23,5LO2
24,5LO4
25,5TGY
26,5TGW
27,5UYO
28,5UOI
29,5UP1
30,5UP5
31,5VID
32,5VMR
33,6HQE
34,6MK1
35,6IWB
36,6M6Z
37,6W15
38,6R60
39,6R5Y
40,6XXV
41,6YWC
42,6YWD
