pdb
1K09
1NA3
1NA0
1P68
2BH8
2JUA
3RFS
3RFJ
4E0K
4E0L
4E0M
4E0N
4E0O
4JLR
4N9G
4QTR
4NDL
4OYD
4PJQ
4PJR
4PJS
5KWD
5LO3
5LO2
5LO4
5TGY
5TGW
5UYO
5UOI
5UP1
5UP5
5VID
5VMR
6HQE
6MK1
6IWB
6M6Z
6W15
6R60
6R5Y
6XXV
6YWC
6YWD
